Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
tile,ʌıʋȷ,Modifier,slow,slowness,to be slow,slow,Hindi धीरे dhīre,/d̪ʱiː.ɾeː/,Indo-Iranian,tile,tile,Modifier0,-,.,.,wiki,.
tinki,ʌ̄ıxı,Noun,rank,rank,to be a rank,rank-related,Taiwanese Hokkien 等級 téng-kip,/tiɪŋ⁵³⁻⁴⁴ kip̚³²/,Sino-Tibetan,-,-,Noun,-,X,X,,.
tipa,ʌıʜ,Noun,container,container,to be a container,container-related,Hindi डिब्बा ḍibbā,[ˈɖɪbːa(ː)],Indo-Iranian,tapa,tapa,Noun,-,X,X,,.
titan,ʌıʌ̄,Noun,direction/path,direction/path,to be a direction/path,direction/path-related,Thai ทิศทาง tít-taang,/tʰit̚˦˥.tʰaːŋ˧/,Kra-Dai,nasin,kamino,Noun,-,X,X,,.
titi,ʌıʌı,Noun,breast/chest,breast/chest,to be a breast/chest,breast/chest-related,Swahili titi,,Niger-Congo,titi,titi,Noun,-,.,.,,.
tolu,ʌʃʋſ,Noun,tube,tube/pipe,to be a tube/pipe,tube/pipe-related,Estonian toru,,Uralic,tolu,tolu,Noun,-,.,.,,.
tomiwa,ʌʃɞıɕ,Modifier,functional,functionality,to be functional,functional,Finnish toimiva,[ˈt̪o̞i̯miʋɑ̝],Uralic,-,-,ModifierG,-,X,X,kapu/nase,.
tonko,ʌ̄ʃxʃ,Modifier,hurting/suffering,pain/suffering,to be hurting/suffering,hurting/suffering,Min Nan 痛苦 thòng-khó͘ ,/tʰɔŋ²¹⁻⁵³ kʰɔ⁵³/,Sino-Tibetan,kuton,kuton,ModifierG,-,X,X,,.
tope,ʌʃʜȷ,Modifier,good,goodness,to be good,good,Ukranian добрий dóbryj,[ˈdɔbrei̯],Balto-Slavic,pona,tope,Modifier+,-,X,.,loso,.
tu,ʌſ,Pronoun,you,you,to be you,your,Latin tū,[t̪uː],Romance,si,tu,Pronoun,-,X,.,,.
tuko,ʌſxʃ,Modifier,hot,hotness/heat,to be hot,hot,Korean 뜨겁다 tteugeopda,[t͈ɯɡʌ̹p̚t͈a̠],Koreic,seli,ton,Modifier>,-,X,X,canu,.
tula,ʌſʋ,Modifier,far,farness/distance,to be far/distant,far/distant,Sanskrit दूर dūrá,/duː.ɾɐ́/,Indo-Iranian,tula,tula,Modifier>,-,.,.,sekano,.
