Word,xʃxƨſ ,Type,Meaning,Noun,Verb,Modifier,Origin,IPA,Family,Tokima Word,Relabel v1 Word,Rev_Type,pre-h/c,T,R,Antonym,Antonym wrong?
menwo,ɞ̄ȷɕʃ,Noun,offspring,child/offspring,to be a child/offspring,child/offspring-related,White Hmong menyuam,/me˧.ɲu̯ə˩̰ˀ/,Hmong-Mien,putala,putala,Noun,-,X,X,matuwa,.
mepu,ɞȷʜſ,Modifier,safe,safety/protection,to be safe/protected,safe/protected,Hindi महफ़ूज़ mahfūz,[mɛɦ.fuːz],Indo-Iranian,sulaki,sulaki,ModifierO,-,X,X,pankosi,.
mese,ɞȷɤȷ,Quantity,more,more,to be more,more,Catalan més,/ˈmes/,Romance,sata,sata,Quantity,-,X,X,menu,.
mi,ɞı,Pronoun,I/me,I/me,to be me,my,Italian mi,/mi/,Romance,mi,mi,Pronoun,-,.,.,,.
micin,ɞıɛ̄ı,Noun,fish,fish,to be a fish,fish-related,Nahuatl michin,[ˈmi.t͡ʃin],Yuto-Nahuatl,kala,pesi,Noun,mitin,X,X,,.
mijalo,ɞıɂʋʃ,Noun,brain/mind,brain/mind,to be a brain/mind,brain/mind-related,Greek μυαλό myaló,/mɲaˈlo/,Hellenic,-,-,Noun,-,X,X,,.
mita,ɞıʌ,Noun,amount,number/value/amount,to be a number/value/amount,number/value/amount-related,Arabic مِقْدَار miqdār,/miq.daːr/,Afroasiatic,nanpa,anka,Noun,-,X,X,,.
momu,ɞʃɞſ,Noun,bovine,cow/bovine,to be a cow/bovine,cow/bovine-related,Onomatopoeia,-,Misc,mu,mu,Noun,-,X,X,,.
moto,ɞʃʌʃ,Noun,fire,fire,to be fire,fire-related,Chichewa/Mwani/Ngungwel/Shona/Swahili moto,/ˈmó.to/,Niger-Congo,moto,moto,Noun,-,.,.,,.
mu,ɞſ,Grammar,agent noun derivational marker,-,-,-,Arabic مُـ mu-,,Afroasiatic,-,-,Grammar,-,X,X,,.
muku,ɞſxſ,Noun,mouth,mouth,to be a mouth,mouth-related,Sindhi مک mukhu,,Indo-Iranian,uta,kuti,Noun,-,X,X,,.
mulu,ɞſʋſ,Modifier,complete; perfect aspect modifier,fullness/completeness,to be full/complete,full/complete,Tamil முழு muḻu,[muɻɯ],Dravidian,mulu,mulu,Modifier+,-,.,.,lito,.
muncu,ɞ̄ſɛſ,Modifier,sour,sourness,to be sour,sour,Xhosa -muncu,,Niger-Congo,wawasa,wawasa,ModifierG,-,X,X,,.
musi,ɞſɤı,Noun,arthropod/bug,bug/insect/arthropod,to be a bug/insect/arthropod,bug/insect/arthropod-related,Japanese 虫 mushi,/muɕi/,Japonic,pipi,poka,Noun,-,X,X,,.
mutakin,ɞſʌx̄ı,Modifier,straight,straightness,to be straight,straight,Arabic مُسْتَقِيم mustaqīm,/mus.ta.qiːm/,Afroasiatic,-,-,Modifier0,-,X,X,wanku,.
muwesi,ɞſɕȷɤı,Noun,moon/month,moon/month,to be the moon/a month,moon/month-related,Chichewa mwezi,/ˈmʷe.zí/,Niger-Congo,mun,luna,Noun,-,X,X,,.
na,ƨ,Pronoun,that,that,to be that,that,Mandarin 那 nà,/nä⁵¹/,Sino-Tibetan,na,na,Pronoun,-,.,.,ne,.
naki,ƨxı,Modifier,clean,cleanliness,to be clean,clean,Hebrew נקי naki,,Afroasiatic,sapi,sapi,ModifierO,-,X,X,kawa,.
nalan,ƨʋ̄,Modifier,soft,softness,to be soft,soft,Hindi नरम naram,[n̪ə.ɾə̃m],Indo-Iranian,nalama,nalama,Modifier0,-,X,X,kijeta,.
nalinca,ƨʋ̄ıɛ,Modifier,orange,orangeness,to be orange,orange,Telugu నారింజ nāriñja,[n̪aːɾiɲd͡ʒa],Dravidian,-,-,ModifierG,-,X,X,,.
namu,ƨɞſ,Noun,tree,wood/tree,to be wood/a tree,wood/tree-related,Korean 나무 namu,[na̠mu],Koreic,kaje,kaje,Noun,-,X,X,,.
namuna,ƨɞſƨ,Noun,example,example/sample,to be an example/sample,example/sample-related,Marathi नमूना namunā,[n̪ə.muː.n̪äː],Indo-Iranian,misali,misali,Noun,-,X,X,,.
nan,ƨ̄,Verb,to be able (an ability),an ability,to be able (to do),ability-like/able-to-be-done,Cantonese 能 nang,/nɐŋ²¹/,Sino-Tibetan,ken,etan,Verb,-,X,X,,.
nankin,ƨ̄x̄ı,Modifier,salty,saltiness,to be salty,salty,Hindi नमकीन namkīn,,Indo-Iranian,nun,nun,ModifierG,-,X,X,,.
nanku,ƨ̄xſ,Quantity,four,four,to be four,fourth,Tamil நான்கு nāṉku,[n̪aːnkɯ],Dravidian,po,po,Quantity,-,X,X,,.
napa,ƨʜ,Modifier,pure,purity/homogeneity/sortedness,to be pure/homogeneous/sorted,pure/homogenous/sorted,Persian ناب nâb,,Indo-Iranian,pawita,pawita,ModifierO,-,X,X,huwonho,.
nase,ƨɤȷ,Modifier,intoxicated,intoxication,to be intoxicated,intoxicated,Persian نشئه naš'e,[næːˈʃe],Indo-Iranian,kanja,kanja,ModifierG,-,X,X,tomiwa,.
ne,ƨȷ,Pronoun,this,this,to be this,this,Tetum ne'e,,Austronesian,ni,ni,Pronoun,-,X,X,na,.
neje,ƨȷɂȷ,Noun,horse,horse/equine,to be a horse/equine,horse/equine-related,Onomatopoeia,-,Misc,neje,neje,Noun,-,.,.,,.
nelo,ƨȷʋʃ,Modifier,black,blackness/darkness,to be black/dark,black/dark,Italian nero,/ˈne.ro/,Romance,pimeja,kapu,ModifierG,-,X,X,,.
nenka,ƨ̄ȷx,Preposition,because of,-,-,-,Zulu ngenxa,,Niger-Congo,nen,nen,Preposition,-,X,X,,.
nepa,ƨȷʜ,Modifier,unlikely/rare,unlikeliness/rarity,to be unlikely/rare,unlikely/rare,Norwegian neppe,/²nɛp.pə/,Germanic,-,-,Modifier0,-,X,X,konen,.
neso,ƨȷɤʃ,Modifier,new/young,novelty/youth,to be new/young,new/young,Greek νέος néos,/ˈne.os/,Hellenic,sin,sin,Modifier0,-,X,X,cune,.
niku,ƨıxſ,Noun,meat/muscle,meat/muscle,to be meat/muscle,meat/muscle-related,Japanese 肉 niku,[ɲ̟ikɯ̟ᵝ],Japonic,umami,umami,Noun,-,X,X,,.
nile,ƨıʋȷ,Modifier,blue,blueness,to be blue,blue,Marathi निळे niḷe,,Indo-Iranian,laso,nile,ModifierG,-,X,.,,.
nin,ƨ̄ı,Noun,person,person,to be a person,person-related,Gan 人 nyin,/n̠ʲin³⁵/,Sino-Tibetan,jan,insan,Noun,-,X,X,,.
niwa,ƨıɕ,Verb,to reside in (a residence),a residence/home,to reside/live (in),home-like/residable,Hindi निवास nivās,[n̪ɪ.ʋäːs̪],Indo-Iranian,-,-,Verb,-,X,X,,.
no,ƨʃ,Grammar,negator particle,-,-,-,English no,/noʊ/,Germanic,no,no,Grammar,-,.,.,,.
non,ƨ̄ʃ,Noun,group,group/collection considered as a whole,to be a group/collection,group/collection-related,Vietnamese nhóm ,[ɲɔm˦˥],Austro-Asiatic,kulupu,kunti,Noun,-,X,X,,.
nula,ƨſʋ,Quantity,zero,zero,to be zero,zeroth,Czech/Serbo-Croatian/Slovak nula,[ˈnula],Balto-Slavic,no,nula,Quantity,-,X,.,,.
o,oʃ,Grammar,imperative verb marker,-,-,-,-,-,Misc,o,u,Grammar,-,.,X,,.
ocota,oʃɛʃʌ,Verb,to worship/idolize/god (a god/deity),god/deity,to worship/idolize/god,god/deity-like/divine,Atakapa o'tsotat,,Misc,-,-,Noun,otota,X,X,,.
oke,oʃxȷ,Verb,to accept/permit (a concession/right),a concession/right/accepted thing/permitted thing,to accept/permit,concession-like/right-like/acceptable/permittable,English okay,/ˌoʊˈkeɪ/,Germanic,oke,oke,Verb,-,.,.,,.
okutu,oʃxſʌſ,Modifier,hidden/covered,hiddenness/coveredness,to be hidden/covered,hidden/covered,Latin occultus,,Romance,-,-,Modifier0,tisilin,X,X,polota,.
onin,oʃƨ̄ı,Modifier,orderly,orderliness/order,to be orderly,orderly,Swedish ordning,[ˈoːɖˌnɪŋː],Germanic,-,-,ModifierO,-,X,X,haso,.
onko,ōʃxʃ,Noun,fungus,fungus/mushroom,to be a fungus/mushroom,fungus/mushroom-related,Spanish hongo,[ˈõŋ.ɡo],Romance,soko,onko,Noun,-,X,.,,.
onton,ōʃʌ̄ʃ,Verb,to wear (clothing),clothing,to wear,clothing-like/wearable,Yiddish אָנטאָן onton,/ˈɔnˌtɔn/,Germanic,len,kapata,Verb,-,X,X,,.
opoki,oʃʜʃxı,Modifier,horizontal,horizontalness,to be horizontal,horizontal,Persian افقی ofoqi,[ʔo.fo.ʁiː],Indo-Iranian,-,-,Modifier0,-,X,X,inalo,.
opotu,oʃʜʃʌſ,Modifier,opposite,oppositeness,to be opposite,opposite,Portuguese oposto,/ɔˈpoʃ.tu/,Romance,ta,jasi,ModifierG,-,X,X,saman,.
osa,oʃɤ,Noun,part/piece,part/piece,to be a part/piece,part/piece-related,Finnish osa,[ˈo̞s̠ɑ̝],Uralic,osa,osa,Noun,-,.,.,,.
osole,oʃɤʃʋȷ,Modifier,afraid,fear,to be scared,scared,Japanese 恐れ osore,[o̞so̞ɾe̞],Japonic,monsuta,monsuta,ModifierG,-,X,X,,.
otawe,oʃʌɕȷ,Verb,to fulfill (a purpose/function) ,purpose/function,to fulfill,purpose-like/function-like/fulfillable,Estonian otstarve,[ˈots(ˌ)tɑrve̞],Uralic,-,-,Verb,-,X,X,,.
oti,oʃʌı,Noun,bone,bone,to be a bone,bone-related,Bengali অস্থি osthi,[ˈos.t̪ʰi],Indo-Iranian,-,-,Noun,-,X,X,,.
pa,ʜ,Verb,to touch (a surface),a surface/skin,to touch/contact/feel (physically),surface-like/touchable/feelable (physically),Māori pā,/ˈpaː/,Austronesian,awo,awo,Verb,-,X,X,,.
pajan,ʜɂ̄,Noun,left,left (side),to be the left (side),leftside-related/left(hand),Hindi बायाँ bāyā̃,[bäː.jä̃ː],Indo-Iranian,soto,soto,Noun,-,X,X,jamin,.
pan,ʜ̄,Grammar,causative agent noun derivational marker,-,-,-,Indonesian peng-,/pəŋ/,Austronesian,-,-,Particle,-,X,X,,.
pani,ʜƨı,Noun,water/liquid,water/liquid,to be water/a liquid,water/liquid-related,Bhojpuri पानी pānī,,Indo-Iranian,telo,pani,Noun,-,X,.,,.
pankosi,ʜ̄xʃɤı,Modifier,endangered,endangerment,to be endangered/in danger,endangered/in-danger,Chichewa/Shona pangozi,,Niger-Congo,pilate,pilate,ModifierC,-,X,X,mepu,.
panli,ʜ̄ʋı,Modifier,split,splitness/division,to be split/divided,split/divided,Cantonese 分裂 fan lit,/fɐn⁵⁵ liːt̚²/,Sino-Tibetan,kipisi,tipi,ModifierG,-,X,X,kisowa/unitu,.
pansin,ʜ̄ɤ̄ı,Noun,square/rectangle,square/rectangle,to be a square/rectangle,square/rectangle-related,Mandarin 方形 fāngxíng,/fɑŋ⁵⁵ ɕiŋ³⁵/,Sino-Tibetan,leko,leko,Noun,-,X,X,,.
panta,ʜ̄ʌ,Modifier,closed,closedness,to be closed,closed,Marathi बंद banda,/bən.d̪ə/,Indo-Iranian,-,-,Modifier0,-,X,X,kula,.
papon,ʜʜ̄ʃ,Verb,to emit (excreta),excreta/an ejected thing,to emit/eject/excrete,excreta-like/emittable/ejectable/excretable,Cantonese 排放 paaifong,/pʰaːi̯²¹ fɔːŋ³³/,Sino-Tibetan,papon,papon,Verb,-,.,.,,.
pasan,ʜɤ̄,Modifier,happy,happiness,to be happy,happy,Hindi प्रसन्न prasann,,Indo-Iranian,pasan,pasan,ModifierG,-,.,.,,.
pasu,ʜɤſ,Modifier,false,falseness/fakeness,to be false/fake,false/fake,Portuguese falso,[ˈfaɫ.su],Romance,powe,powe,ModifierG,-,X,X,hakiki,.
pata,ʜʌ,Verb,to read (a document),a document/book/sign,to read,document-like/readable,Sanskrit पाठ pāṭha,,Indo-Iranian,-,-,Verb,-,X,X,,.
patun,ʜʌ̄ſ,Modifier,unmoving,stillness,to be still/unmoving,still/unmoving,Cantonese 不動 bat dung,/pɐt̚⁵ tʊŋ²²/,Sino-Tibetan,awen,jenka,ModifierG,-,X,X,konpa/lo/tawawa,X
pawo,ʜɕʃ,Noun,dog,dog/canine,to be a dog/canine,dog/canine-related,Onomatopoeia,-,Misc,pawo,pawo,Noun,-,.,.,,.
peko,ʜȷxʃ,Grammar,hello/bye/please/thank you/sorry; polite clause ender,-,-,-,Italian prego,/ˈprɛ.ɡo/,Romance,peko,peko,Grammar,-,.,.,,.
pela,ʜȷʋ,Verb,to feel (an emotion),an emotion,to feel (emotion-wise),emotion-like/feelable (emotion-wise),Danish føle,[ˈføːlə],Germanic,pilin,senti,Verb,-,X,X,,.
pelete,ʜȷʋȷʌȷ,Noun,wall,wall,to be a wall,wall-related,Romanian perete,[peˈrete],Romance,tiwa,tiwa,Noun,-,X,X,,.
peman,ʜȷɞ̄,Verb,to agree to/promise (a promise/oath),an agreement/promise/oath,to agree to/promise,agreement-like/promise-like/oath-like/promisable,Persian پیمان peymân,/pejˈmɒːn/,Indo-Iranian,peman,peman,Verb,-,.,.,,.
pen,ʜ̄ȷ,Verb,to understand (a concept),a concept,to understand,concept-like/understandable,Maltese fehem,/fɛːm/,Afroasiatic,konta,konta,Verb,-,X,X,,.
penpe,ʜ̄ȷʜȷ,Modifier,white,whiteness,to be white,white,Kongo mpembe,,Niger-Congo,walo,wita,ModifierG,-,X,X,,.
pese,ʜȷɤȷ,Verb,to await (an expectation),an expectation/awaited thing,to await/expect,expectation-like/expectable,Albanian pres,,Albanian,intisa,intisa,Verb,-,X,X,,.
pesuwan,ʜȷɤſɕ̄,Verb,to need (a requirement),a need/requirement,to need/require,requirement-like/needable/requirable/necessary,French besoin,/bə.zwɛ̃/ (/bø.zwæ̃/),Romance,pesoni,pesoni,Verb,-,X,X,,.
pi,ʜı,Preposition,at,-,-,-,Bulgarian при pri,[pri],Balto-Slavic,an,an,Preposition,-,X,X,,.
pice,ʜıɛȷ,Noun,back,back/behind region,to be the back/behind region,back-related/backward,Hindi पीछे pīche,,Indo-Iranian,monsi,pise,Noun,pite,X,X,polan,.
picijo,ʜıɛıɂʃ,Noun,leg/foot,leg/foot,to be a leg/foot,leg/foot-related,Romanian picior,/piˈt͡ʃjor/,Romance,noka,tetima,Noun,pitijo,X,X,,.
pijen,ʜıɂ̄ȷ,Verb,to become (a transformation),a transformation/final state,to become/transform into,transformation-like/transformed-into/becomable,Mandarin 變 biàn,/pi̯ɛn⁵¹/,Sino-Tibetan,kama,ipa,Verb,-,X,X,,.
pikante,ʜıx̄ʌȷ,Modifier,spicy,spiciness,to be spicy,spicy,Spanish picante,[piˈkãn̪.t̪e],Romance,masala,masala,ModifierG,-,X,X,,.
pilu,ʜıʋſ,Modifier,victorious/successful,victoriousness/victory/successfulness/success,to be victorious/successful,victorious/successful,Persian پیروز piruz,[pʰiː.ɹúːz],Indo-Iranian,wisaja,wisaja,Modifier+,wita (witi),X,X,sipa,.
pinko,ʜ̄ıxʃ,Verb,to assess/evaluate (an evaluand/evaluatee),evaluand/evaluatee,to assess/evaluate,evaluand/evaluatee-like,Southern Min 評估 phêng-kó͘,/pʰiɪŋ²⁴⁻²² kɔ⁵³/,Sino-Tibetan,-,-,Verb,-,X,X,,.
pintan,ʜ̄ıʌ̄,Noun,star/year,star/year,to be a star/year,star/year-related,Malay bintang,/bintaŋ/,Austronesian,wetu,wetu,Noun,-,X,X,,.
pintu,ʜ̄ıʌſ,Noun,dot,dot/point,to be a dot/point,dot/point-related,Hindi बिंदु bindu,[bɪ̃n̪.d̪uː],Indo-Iranian,-,-,Noun,-,X,X,,.
po,ʜʃ,Preposition,for,-,-,-,English for,/fɔɹ/,Germanic,-,polo,Preposition,-,X,X,,.
polan,ʜʃʋ̄,Noun,forward,front/forward region,to be the front/forward region,front-related/forward,German voran,/foˈʁan/,Germanic,sinpin,polan,Noun,-,X,.,pice,.
poloko,ʜʃʋʃxʃ,Noun,block,block/brick,to be a block/brick,block/brick-related,Italian blocco,/ˈblɔk.ko/,Romance,leko,leko,Noun,-,X,X,,.
polota,ʜʃʋʃʌ,Modifier,exposed/naked,exposedness/nakedness,to be exposed/naked,exposed/naked,Swedish blottad,,Germanic,-,-,Modifier>,-,X,X,okutu,.
pon,ʜ̄ʃ,Verb,to cause (an effect),an effect/result,to cause,effect/result-like/causable,Thai ผล pǒn,/pʰon˩˩˦/,Kra-Dai,kake/wa,kake/wa,Verb,-,X,X,,.
posa,ʜʃɤ,Verb,to form [pose-wise] (a position),a pose/position,to form (pose-wise),pose-like/position-like/formable (pose-wise),Spanish posar,[poˈsaɾ],Romance,-,-,Verb,-,X,X,,.
pote,ʜʃʌȷ,Modifier,next; future tense modifier,nextness/future,to be next,next/future,Bulgarian бъ́дещ bǎ́dešt,[ˈbɤdɛʃt],Balto-Slavic,akile,akile,ModifierG,pututi,X,X,matin,.
powele,ʜʃɕȷʋȷ,Noun,powder,powder/dust,to be powder/dust,powder/dust-related,Italian polvere,/ˈpol.ve.re/,Romance,woka,woka,Noun,-,X,X,,.
pucun,ʜſɛ̄ſ,Verb,to obey (a rule),a rule/law,to obey,rule/law-like/obeyable,Mandarin 服從 fúcóng,/fu³⁵ t͡sʰʊŋ³⁵/,Sino-Tibetan,kanun/puson,kanun/puson,Verb,putun,X,X,,.
puka,ʜſx,Modifier,heavy,heaviness/weight,to be heavy,heavy,Cebuano bug-at,[bʊɡˈʔat̪],Austronesian,epi,epi,Modifier>,-,X,X,haluko,.
